id,apartmentImage,apartmentAdvertTitle,apartmentSize,numberOfApartmentRooms,apartmentPrice,apartmentPropertyType,apartmentLocation,apartmentAdvertDate
21,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/2/5/4/7/0/4/df373bdd-dbb7-41a2-bcb9-d1395c7b14d6.jpeg,"muhteşem deniz manzaralı, eşyalı (3-12 aylık) 1 haziran sonrası",110 m²,2 + 1,46.000 ₺,Sahibinden Kiralık Daire,Kadıköy,06-05-2023
22,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/8/6/4/7/0/4/1683367318911-40746807.jpg,metrobüs yakın 1+1 dairem satılık,70 m²,1 + 1,1.200.000 ₺,Sahibinden Satılık Daire,Esenyurt,06-05-2023
23,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/1/5/4/7/0/4/389c9a92-1861-41d3-8bfe-8058f0080d1a.jpeg,e-5 üzeri vatandaşlığa uygun konut+ticari imarlı arsa sahibinden,450 m²,,11.000.000 ₺,Satılık,Büyükçekmece,05-05-2023
24,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/3/5/4/7/0/4/1683341742917-40745320.jpg,kiralik  dükkan,65 m²,,10.000 ₺,Kiralık,Fatih,06-05-2023
25,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/2/5/4/7/0/4/4a4c9c74-e07b-46ab-b1b5-2f916439eaff.jpeg,sahibinden kiralık denize sıfır panoramik manzaralı eşyalı daire,120 m²,2 + 1,22.000 ₺,Kiralık,Silivri,06-05-2023
26,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/2/5/4/7/0/4/eab2c427-a7a3-4374-a83b-7ed98409ab50.jpeg,sahibinden fırsat! çok temiz geniş 3+1 bahçeli ara kat doğalgaz,120 m²,3 + 1,7.000 ₺,Sahibinden Kiralık Daire,Avcılar,06-05-2023
27,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/2/5/4/7/0/4/bf431551-6980-48e1-a311-78b28522e70a.jpeg,site içi havuzlu alemdag çatalmeşe de dublex terasli daire,165 m²,2 + 1,4.950.000 ₺,Sahibinden Satılık Daire,Çekmeköy,06-05-2023
28,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/2/5/4/7/0/4/2dff6379-47cf-4ab2-b051-71694870acd0.jpeg,sahibinden ataşehir'in en güzel yerinden satılık 3+1 daire,157 m²,3 + 1,9.750.000 ₺,Sahibinden Satılık Daire,Ataşehir,06-05-2023
29,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/4/9/4/7/0/4/30dae5b0-dc6a-456e-835f-c1d8f07d9a6d.jpeg,kaçırılmayacak eşyalı daire,80 m²,2 + 1,12.000 ₺,Sahibinden Kiralık Daire,Şişli,06-05-2023
30,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/4/9/4/7/0/4/1683390846701-40749466.jpg,pınar mah. 2+1 satılık daire ( acil ),90 m²,2 + 1,1.325.000 ₺,Sahibinden Satılık Daire,Esenyurt,06-05-2023
31,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/3/7/4/7/0/4/1683390768116-40747319.jpg,eşyalı daire,113 m²,2 + 1,7.500 ₺,Sahibinden Kiralık Daire,Kağıthane,06-05-2023
32,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/9/1/7/4/7/0/4/1683369078610-40747194.jpg,satılık arsa,247 m²,,415.685 ₺,Satılık,Çatalca,06-05-2023
33,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/7/7/4/7/0/4/1683373598602-40747766.jpg,sahibinden kiralık eşyalı daire,90 m²,2 + 1,9.000 ₺,Sahibinden Kiralık Daire,Ataşehir,06-05-2023
34,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/1/5/4/7/0/4/01d97b05-c250-4c4d-8329-6d47708fc58b.jpeg,satılık bakımlı daire,220 m²,2 + 1,3.500.000 ₺,Sahibinden Satılık Daire,Eyüpsultan,05-05-2023
35,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/2/5/4/7/0/4/1683332989-59066-40745207.jpeg,sahibinden etiler de stüdyo daire,40 m²,Stüdyo,15.000 ₺,Sahibinden Kiralık Daire,Beşiktaş,06-05-2023
36,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/1/9/4/7/0/4/3b81d873-1559-48fa-bc7c-c41402b16ff8.jpeg,sahibinden 1+1 türkbüküre residance e5'e 250m,75 m²,1 + 1,1.550.000 ₺,Sahibinden Satılık Daire,Esenyurt,06-05-2023
37,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/1/6/4/7/0/4/1683360816833-40746120.jpg,3+1 eşyalı daire,130 m²,3 + 1,8.000 ₺,Sahibinden Kiralık Daire,Üsküdar,06-05-2023
38,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/6/8/4/7/0/4/sFQF3QVMihEy0pXFZQx9H.jpg,depreme dayanıklı merkezi ve seçkin mühitte,140 m²,4 + 1,7.250.000 ₺,Sahibinden Satılık Daire,Ataşehir,06-05-2023
